dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,rpl41,0.6828957495914564,0.9953023471095357
Breast Visium CID44971,novosparc,rps18,0.666040955994121,0.9950215539998832
Breast Visium CID44971,novosparc,rpl32,0.6245706801117489,0.9922797056704871
Breast Visium CID44971,novosparc,rpl12,0.586072633436869,0.9873470267307325
Breast Visium CID44971,novosparc,rpl34,0.5770080812885771,0.9866566494874315
Breast Visium CID44971,novosparc,rpl10a,0.5675436957951481,0.9703827723105032
Breast Visium CID44971,novosparc,rps14,0.5587930280825038,0.9841280094586927
Breast Visium CID44971,novosparc,rpl37a,0.5514960525326479,0.9934095314149115
Breast Visium CID44971,novosparc,c1qb,0.4972841726793149,0.5836313569318098
Breast Visium CID44971,novosparc,agr3,0.4764093629128494,0.5270009277600918
Breast Visium CID44971,novosparc,btf3,0.4591322705521459,0.8928504585051729
Breast Visium CID44971,novosparc,strap,0.4530777877320996,0.8350926348280068
Breast Visium CID44971,novosparc,rps13,0.4522418302993802,0.9822441257681016
Breast Visium CID44971,novosparc,snrpe,0.4456158234007532,0.8345724810634771
Breast Visium CID44971,novosparc,sf3b6,0.4422804690845998,0.8927421855452703
Breast Visium CID44971,novosparc,grn,0.4405611229485688,0.777985263191304
Breast Visium CID44971,novosparc,rpl6,0.4390752259485557,0.9676775224829798
Breast Visium CID44971,novosparc,ppdpf,0.4318234301094157,0.9302583173623832
Breast Visium CID44971,novosparc,mlph,0.4313195946132848,0.5178733191009997
Breast Visium CID44971,novosparc,tbx3,0.4267746481504451,0.5286170909300496
Breast Visium CID44971,novosparc,tymp,0.4261746296793801,0.7858153428028557
Breast Visium CID44971,novosparc,cxcl2,0.4188246195779709,0.5591377003787904
Breast Visium CID44971,novosparc,mt1x,0.4162603740973755,0.8523093718918915
Breast Visium CID44971,novosparc,sparc,0.4123966362968014,0.6408398519328934
Breast Visium CID44971,novosparc,rpl8,0.408007538419974,0.9910537594884574
Breast Visium CID44971,novosparc,frzb,0.4067251497389075,0.6580287851209149
Breast Visium CID44971,novosparc,txn,0.4066179913602868,0.9038396688372446
Breast Visium CID44971,novosparc,pfn1,0.4010957777140577,0.9657432591683784
Breast Visium CID44971,novosparc,pcna,0.3975748264283575,0.7740357118224418
Breast Visium CID44971,novosparc,mlf2,0.3854908062661188,0.8398109547117666
Breast Visium CID44971,novosparc,hmgn3,0.3847577604623022,0.8567670407124953
Breast Visium CID44971,novosparc,hspe1,0.3804893749564763,0.8928833832413624
Breast Visium CID44971,novosparc,tspan7,0.3776956206688504,0.42136645308077214
Breast Visium CID44971,novosparc,txnl1,0.3755088780776128,0.7850206397491717
Breast Visium CID44971,novosparc,serping1,0.3711101368620944,0.6247217384431846
Breast Visium CID44971,novosparc,rpn1,0.3679732613490899,0.7919348529219119
Breast Visium CID44971,novosparc,cldn7,0.3675137082142396,0.48444117111142754
Breast Visium CID44971,novosparc,col6a2,0.365435478287377,0.5446260465680218
Breast Visium CID44971,novosparc,aif1,0.3617529107359628,0.5264503796618711
Breast Visium CID44971,novosparc,ilf2,0.3611041533163615,0.8447089972206611
Breast Visium CID44971,novosparc,hmgn1,0.3565898315778332,0.9021081485698021
Breast Visium CID44971,novosparc,prdx1,0.3564910471527636,0.9292692808005114
Breast Visium CID44971,novosparc,tmem258,0.3554935619342004,0.8929186065638203
Breast Visium CID44971,novosparc,hnrnpa1,0.3553781280333084,0.9465992381322208
Breast Visium CID44971,novosparc,errfi1,0.3526719385093672,0.6356186169313098
Breast Visium CID44971,novosparc,anxa1,0.3479623803231914,0.804947563695319
Breast Visium CID44971,novosparc,camta1,0.3463550896812352,0.7626163789425331
Breast Visium CID44971,novosparc,mrps35,0.3452000127009564,0.6847559758723752
Breast Visium CID44971,novosparc,pebp1,0.3428390024320242,0.8899695448741115
Breast Visium CID44971,novosparc,srsf5,0.3425283120902758,0.7590949780205948
Breast Visium CID44971,novosparc,tcp1,0.3423757989295504,0.7823556953116497
Breast Visium CID44971,novosparc,srp9,0.3414142945034519,0.8508422803530356
Breast Visium CID44971,novosparc,tnfsf11,0.3379774530403288,0.3927198473365145
Breast Visium CID44971,novosparc,cd24,0.3347867104500474,0.7122031247549466
Breast Visium CID44971,novosparc,lgals9,0.3333034504526638,0.5702945327355966
Breast Visium CID44971,novosparc,jtb,0.3291570140527989,0.8836894852932101
Breast Visium CID44971,novosparc,mrps21,0.3281204544203355,0.8585654443269859
Breast Visium CID44971,novosparc,ybx1,0.3280505227072765,0.875550597433015
Breast Visium CID44971,novosparc,sgk1,0.3233974616290838,0.6606327118986423
Breast Visium CID44971,novosparc,ifngr2,0.3222204753874645,0.7007813613465045
Breast Visium CID44971,novosparc,marcksl1,0.3220440361880906,0.8099777844549839
Breast Visium CID44971,novosparc,jun,0.32172090566806,0.760251083758312
Breast Visium CID44971,novosparc,ctsk,0.3210159411987471,0.4782779944629393
Breast Visium CID44971,novosparc,mgat1,0.3195898703208113,0.7084556031887003
Breast Visium CID44971,novosparc,dstn,0.3148165520519086,0.826895461917486
Breast Visium CID44971,novosparc,ube2v2,0.3145631893195121,0.695175968540446
Breast Visium CID44971,novosparc,olfml3,0.3129457730478182,0.4800803207744462
