platform_group,dataset,model,metric,score,rank,relative_rank,model_count
spot_based,Breast Visium CID44971,novosparc,pearson,0.1882555210946291,6.0,0.4444444444444444,9
spot_based,Breast Visium CID44971,novosparc,css,0.5039279969848296,6.0,0.4444444444444444,9
spot_based,Breast Visium CID44971,novosparc,ssim,0.1464811489123382,5.0,0.5555555555555556,9
spot_based,Breast Visium CID44971,tangram,pearson,0.22149972663024373,4.0,0.6666666666666666,9
spot_based,Breast Visium CID44971,tangram,css,0.5602622714739734,3.0,0.7777777777777778,9
spot_based,Breast Visium CID44971,tangram,ssim,0.149986294163391,4.0,0.6666666666666666,9
spot_based,Breast Visium CID44971,spage,pearson,0.2264254588409462,3.0,0.7777777777777778,9
spot_based,Breast Visium CID44971,spage,css,0.49406668946817833,7.0,0.3333333333333333,9
spot_based,Breast Visium CID44971,spage,ssim,0.19098072404681185,1.0,1.0,9
spot_based,Breast Visium CID44971,spaim,pearson,0.2345396207727074,2.0,0.8888888888888888,9
spot_based,Breast Visium CID44971,spaim,css,0.5695925530387184,2.0,0.8888888888888888,9
spot_based,Breast Visium CID44971,spaim,ssim,0.12383594434209153,9.0,0.1111111111111111,9
spot_based,Breast Visium CID44971,stimpute,pearson,0.16422244903710445,7.0,0.3333333333333333,9
spot_based,Breast Visium CID44971,stimpute,css,0.5115878322810944,5.0,0.5555555555555556,9
spot_based,Breast Visium CID44971,stimpute,ssim,0.13461955290063865,8.0,0.2222222222222222,9
spot_based,Breast Visium CID44971,cytospace,pearson,0.14094030337705896,9.0,0.1111111111111111,9
spot_based,Breast Visium CID44971,cytospace,css,0.4052784122884723,9.0,0.1111111111111111,9
spot_based,Breast Visium CID44971,cytospace,ssim,0.14119614291404614,6.0,0.4444444444444444,9
spot_based,Breast Visium CID44971,seurat,pearson,0.21698097086124,5.0,0.5555555555555556,9
spot_based,Breast Visium CID44971,seurat,css,0.5194768812157234,4.0,0.6666666666666666,9
spot_based,Breast Visium CID44971,seurat,ssim,0.1863002285613116,2.0,0.8888888888888888,9
spot_based,Breast Visium CID44971,liger,pearson,0.15741494725364522,8.0,0.2222222222222222,9
spot_based,Breast Visium CID44971,liger,css,0.45259723036597344,8.0,0.2222222222222222,9
spot_based,Breast Visium CID44971,liger,ssim,0.13762665853147016,7.0,0.3333333333333333,9
spot_based,Breast Visium CID44971,arcimpute,pearson,0.2720444198768216,1.0,1.0,9
spot_based,Breast Visium CID44971,arcimpute,css,0.5804853114965609,1.0,1.0,9
spot_based,Breast Visium CID44971,arcimpute,ssim,0.17040578222932232,3.0,0.7777777777777778,9
spot_based,Mouse Cortex Visium,novosparc,pearson,0.1445931256895578,7.0,0.3333333333333333,9
spot_based,Mouse Cortex Visium,novosparc,css,0.6109756951958284,6.0,0.4444444444444444,9
spot_based,Mouse Cortex Visium,novosparc,ssim,0.11775691619026007,7.0,0.3333333333333333,9
spot_based,Mouse Cortex Visium,tangram,pearson,0.2166198506288692,2.0,0.8888888888888888,9
spot_based,Mouse Cortex Visium,tangram,css,0.6920198472893339,2.0,0.8888888888888888,9
spot_based,Mouse Cortex Visium,tangram,ssim,0.15502971476413344,3.0,0.7777777777777778,9
spot_based,Mouse Cortex Visium,spage,pearson,0.2099158121213375,3.0,0.7777777777777778,9
spot_based,Mouse Cortex Visium,spage,css,0.5945954334367564,8.0,0.2222222222222222,9
spot_based,Mouse Cortex Visium,spage,ssim,0.1819727432025252,1.0,1.0,9
spot_based,Mouse Cortex Visium,spaim,pearson,0.15994715107842739,5.0,0.5555555555555556,9
spot_based,Mouse Cortex Visium,spaim,css,0.6907609712637885,3.0,0.7777777777777778,9
spot_based,Mouse Cortex Visium,spaim,ssim,0.09747091030977682,8.0,0.2222222222222222,9
spot_based,Mouse Cortex Visium,stimpute,pearson,0.0751983266583126,9.0,0.1111111111111111,9
spot_based,Mouse Cortex Visium,stimpute,css,0.6239097411830802,5.0,0.5555555555555556,9
spot_based,Mouse Cortex Visium,stimpute,ssim,0.07245244829414958,9.0,0.1111111111111111,9
spot_based,Mouse Cortex Visium,cytospace,pearson,0.13223253591077946,8.0,0.2222222222222222,9
spot_based,Mouse Cortex Visium,cytospace,css,0.5329390191721365,9.0,0.1111111111111111,9
spot_based,Mouse Cortex Visium,cytospace,ssim,0.11791131148544154,6.0,0.4444444444444444,9
spot_based,Mouse Cortex Visium,seurat,pearson,0.17235381265927976,4.0,0.6666666666666666,9
spot_based,Mouse Cortex Visium,seurat,css,0.6317209974445089,4.0,0.6666666666666666,9
spot_based,Mouse Cortex Visium,seurat,ssim,0.14978197466142157,4.0,0.6666666666666666,9
spot_based,Mouse Cortex Visium,liger,pearson,0.156630456512697,6.0,0.4444444444444444,9
spot_based,Mouse Cortex Visium,liger,css,0.5989178702197767,7.0,0.3333333333333333,9
spot_based,Mouse Cortex Visium,liger,ssim,0.13630230419428416,5.0,0.5555555555555556,9
spot_based,Mouse Cortex Visium,arcimpute,pearson,0.2514030284178049,1.0,1.0,9
spot_based,Mouse Cortex Visium,arcimpute,css,0.701144991889135,1.0,1.0,9
spot_based,Mouse Cortex Visium,arcimpute,ssim,0.15859800204598654,2.0,0.8888888888888888,9
spot_based,PDAC-A ST1,novosparc,pearson,0.1149329803888593,7.0,0.3333333333333333,9
spot_based,PDAC-A ST1,novosparc,css,0.31359323327709016,7.0,0.3333333333333333,9
spot_based,PDAC-A ST1,novosparc,ssim,0.06228008826414051,8.0,0.2222222222222222,9
spot_based,PDAC-A ST1,tangram,pearson,0.1884760673752494,3.0,0.7777777777777778,9
spot_based,PDAC-A ST1,tangram,css,0.37044557875830875,3.0,0.7777777777777778,9
spot_based,PDAC-A ST1,tangram,ssim,0.09936548980416827,2.0,0.8888888888888888,9
spot_based,PDAC-A ST1,spage,pearson,0.16658734906055095,4.0,0.6666666666666666,9
spot_based,PDAC-A ST1,spage,css,0.34013525307665904,6.0,0.4444444444444444,9
spot_based,PDAC-A ST1,spage,ssim,0.0983717116774574,4.0,0.6666666666666666,9
spot_based,PDAC-A ST1,spaim,pearson,0.21060324797124888,2.0,0.8888888888888888,9
spot_based,PDAC-A ST1,spaim,css,0.3870881064961524,2.0,0.8888888888888888,9
spot_based,PDAC-A ST1,spaim,ssim,0.09761375345955667,5.0,0.5555555555555556,9
spot_based,PDAC-A ST1,stimpute,pearson,0.14216493249349968,5.0,0.5555555555555556,9
spot_based,PDAC-A ST1,stimpute,css,0.34212613491132854,5.0,0.5555555555555556,9
spot_based,PDAC-A ST1,stimpute,ssim,0.08718725075204013,7.0,0.3333333333333333,9
spot_based,PDAC-A ST1,cytospace,pearson,0.11264455622987866,8.0,0.2222222222222222,9
spot_based,PDAC-A ST1,cytospace,css,0.22783084764698197,9.0,0.1111111111111111,9
spot_based,PDAC-A ST1,cytospace,ssim,0.0992051086791382,3.0,0.7777777777777778,9
spot_based,PDAC-A ST1,seurat,pearson,0.13113918991384121,6.0,0.4444444444444444,9
spot_based,PDAC-A ST1,seurat,css,0.34696312098979415,4.0,0.6666666666666666,9
spot_based,PDAC-A ST1,seurat,ssim,0.09009582731392533,6.0,0.4444444444444444,9
spot_based,PDAC-A ST1,liger,pearson,0.05440047359637027,9.0,0.1111111111111111,9
spot_based,PDAC-A ST1,liger,css,0.2979044632555278,8.0,0.2222222222222222,9
spot_based,PDAC-A ST1,liger,ssim,0.03776533608412812,9.0,0.1111111111111111,9
spot_based,PDAC-A ST1,arcimpute,pearson,0.2286846746308424,1.0,1.0,9
spot_based,PDAC-A ST1,arcimpute,css,0.3922661626219031,1.0,1.0,9
spot_based,PDAC-A ST1,arcimpute,ssim,0.11568574147940257,1.0,1.0,9
spot_based,HER2ST B1,novosparc,pearson,0.1421708522494492,6.0,0.4444444444444444,9
spot_based,HER2ST B1,novosparc,css,0.40405402539019464,6.0,0.4444444444444444,9
spot_based,HER2ST B1,novosparc,ssim,0.10073422117775442,5.0,0.5555555555555556,9
spot_based,HER2ST B1,tangram,pearson,0.2455332532847473,3.0,0.7777777777777778,9
spot_based,HER2ST B1,tangram,css,0.4724377694561054,3.0,0.7777777777777778,9
spot_based,HER2ST B1,tangram,ssim,0.14580121345436806,2.0,0.8888888888888888,9
spot_based,HER2ST B1,spage,pearson,0.16034226765252957,4.0,0.6666666666666666,9
spot_based,HER2ST B1,spage,css,0.374180344793455,7.0,0.3333333333333333,9
spot_based,HER2ST B1,spage,ssim,0.12123600152633415,4.0,0.6666666666666666,9
spot_based,HER2ST B1,spaim,pearson,0.2582642089913271,2.0,0.8888888888888888,9
spot_based,HER2ST B1,spaim,css,0.4802435904158322,2.0,0.8888888888888888,9
spot_based,HER2ST B1,spaim,ssim,0.1365816092636047,3.0,0.7777777777777778,9
spot_based,HER2ST B1,stimpute,pearson,0.14939004425422286,5.0,0.5555555555555556,9
spot_based,HER2ST B1,stimpute,css,0.4224357497911769,4.0,0.6666666666666666,9
spot_based,HER2ST B1,stimpute,ssim,0.1003118049221037,6.0,0.4444444444444444,9
spot_based,HER2ST B1,cytospace,pearson,0.11281919312784874,7.0,0.3333333333333333,9
spot_based,HER2ST B1,cytospace,css,0.30051868464562254,9.0,0.1111111111111111,9
spot_based,HER2ST B1,cytospace,ssim,0.0967763054919656,7.0,0.3333333333333333,9
spot_based,HER2ST B1,seurat,pearson,0.09973866477005038,8.0,0.2222222222222222,9
spot_based,HER2ST B1,seurat,css,0.40574286846037494,5.0,0.5555555555555556,9
spot_based,HER2ST B1,seurat,ssim,0.06749821094715056,8.0,0.2222222222222222,9
spot_based,HER2ST B1,liger,pearson,0.03926233636408709,9.0,0.1111111111111111,9
spot_based,HER2ST B1,liger,css,0.3129011820890907,8.0,0.2222222222222222,9
spot_based,HER2ST B1,liger,ssim,0.03357437704789776,9.0,0.1111111111111111,9
spot_based,HER2ST B1,arcimpute,pearson,0.2717098340946977,1.0,1.0,9
spot_based,HER2ST B1,arcimpute,css,0.4850536659558993,1.0,1.0,9
spot_based,HER2ST B1,arcimpute,ssim,0.1507132978278869,1.0,1.0,9
spot_based,Mouse Olfactory Bulb Rep12,novosparc,pearson,0.22139078240790883,2.0,0.8888888888888888,9
spot_based,Mouse Olfactory Bulb Rep12,novosparc,css,0.7873460052312728,5.0,0.5555555555555556,9
spot_based,Mouse Olfactory Bulb Rep12,novosparc,ssim,0.1932560395156098,2.0,0.8888888888888888,9
spot_based,Mouse Olfactory Bulb Rep12,tangram,pearson,0.1683583034777609,7.0,0.3333333333333333,9
spot_based,Mouse Olfactory Bulb Rep12,tangram,css,0.8061773597557018,3.0,0.7777777777777778,9
spot_based,Mouse Olfactory Bulb Rep12,tangram,ssim,0.15186921107889548,7.0,0.3333333333333333,9
spot_based,Mouse Olfactory Bulb Rep12,spage,pearson,0.21919945093080645,3.0,0.7777777777777778,9
spot_based,Mouse Olfactory Bulb Rep12,spage,css,0.7243876598306407,8.0,0.2222222222222222,9
