dataset,model,metric,score,ci95_low,ci95_high
Allen MERFISH Pseudospot,novosparc,spot_pearson_mean,0.49871837939097746,0.47457225278815107,0.5225952799621026
Allen MERFISH Pseudospot,novosparc,cell_type_rmse_mean,0.07542521536840736,0.07274521808289917,0.07707806602697907
Allen MERFISH Pseudospot,tangram,spot_pearson_mean,0.6129186433997267,0.5977852233644667,0.6281348164666958
Allen MERFISH Pseudospot,tangram,cell_type_rmse_mean,0.05720381515465335,0.05579871563008214,0.058198918269755304
Allen MERFISH Pseudospot,cytospace,spot_pearson_mean,0.4767242867503847,0.44887156542329537,0.5050677965719562
Allen MERFISH Pseudospot,cytospace,cell_type_rmse_mean,0.09212659656180404,0.0887904506130191,0.09403511018345383
Allen MERFISH Pseudospot,seurat,spot_pearson_mean,0.6987516650608957,0.6817210997989962,0.7155712689341635
Allen MERFISH Pseudospot,seurat,cell_type_rmse_mean,0.060357437627238275,0.058073095447762964,0.06169275567079009
Allen MERFISH Pseudospot,arcimpute,spot_pearson_mean,0.7978133880896315,0.7869217619602027,0.8091053372943804
Allen MERFISH Pseudospot,arcimpute,cell_type_rmse_mean,0.04771950987126016,0.04639313343247218,0.048642675248382755
osmFISH Pseudospot,novosparc,spot_pearson_mean,0.343997181746941,0.32202068223591496,0.3661753287809852
osmFISH Pseudospot,novosparc,cell_type_rmse_mean,0.16460375944505265,0.1598941091200687,0.1686667844369554
osmFISH Pseudospot,tangram,spot_pearson_mean,0.2957574113526481,0.27448133313516476,0.31709633304461216
osmFISH Pseudospot,tangram,cell_type_rmse_mean,0.16251911316192214,0.15836641565247275,0.16605920379245487
osmFISH Pseudospot,cytospace,spot_pearson_mean,0.10480073738086593,0.07907050573561317,0.13165927361185337
osmFISH Pseudospot,cytospace,cell_type_rmse_mean,0.24672366439805984,0.24097244488009323,0.2518656022308237
osmFISH Pseudospot,seurat,spot_pearson_mean,0.1858560093257318,0.16397190507163115,0.20813044952335744
osmFISH Pseudospot,seurat,cell_type_rmse_mean,0.1924513958808167,0.18818211423278455,0.19624264014637166
osmFISH Pseudospot,arcimpute,spot_pearson_mean,0.5727400710521441,0.5561064229874425,0.5895570949575951
osmFISH Pseudospot,arcimpute,cell_type_rmse_mean,0.14377265311670057,0.14044045438352845,0.14672119579713952
SpaceTx ExSeq Pseudospot,novosparc,spot_pearson_mean,0.5047929536669501,0.45815296335184613,0.5514873843142786
SpaceTx ExSeq Pseudospot,novosparc,cell_type_rmse_mean,0.13812371157510833,0.13110089506121111,0.1434237145152678
SpaceTx ExSeq Pseudospot,tangram,spot_pearson_mean,0.5705702020930302,0.5385780985798801,0.6023742074318599
SpaceTx ExSeq Pseudospot,tangram,cell_type_rmse_mean,0.1287216770272827,0.123426277857258,0.13266663022246858
SpaceTx ExSeq Pseudospot,cytospace,spot_pearson_mean,0.4529821120074505,0.40135780548201483,0.5040737799913574
SpaceTx ExSeq Pseudospot,cytospace,cell_type_rmse_mean,0.18238824068895784,0.17190494108727325,0.18968881542727184
SpaceTx ExSeq Pseudospot,seurat,spot_pearson_mean,0.6799233119309126,0.6436120750919009,0.714342875082136
SpaceTx ExSeq Pseudospot,seurat,cell_type_rmse_mean,0.12866392291739334,0.12137029229365341,0.13407746962560604
SpaceTx ExSeq Pseudospot,arcimpute,spot_pearson_mean,0.729640764272945,0.7081096167662214,0.7497841621635826
SpaceTx ExSeq Pseudospot,arcimpute,cell_type_rmse_mean,0.11659653840067782,0.11093506529619421,0.12067926956263134
