dataset,model,spot_id,x,y,cell_type
osmFISH Pseudospot,ground_truth,pseudospot_y0_x15,13164.698086506616,424.6676802098908,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y0_x16,14014.033446926396,424.6676802098908,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y0_x17,14863.368807346178,424.6676802098908,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y0_x18,15712.70416776596,424.6676802098908,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y0_x19,16562.03952818574,424.6676802098908,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y0_x20,17411.374888605522,424.6676802098908,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y0_x21,18260.710249025306,424.6676802098908,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y1_x15,13164.698086506616,1274.0030406296723,Astrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y1_x17,14863.368807346178,1274.0030406296723,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y1_x18,15712.70416776596,1274.0030406296723,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y1_x19,16562.03952818574,1274.0030406296723,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y1_x21,18260.710249025306,1274.0030406296723,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y2_x15,13164.698086506616,2123.338401049454,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y2_x16,14014.033446926396,2123.338401049454,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y2_x17,14863.368807346178,2123.338401049454,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y2_x18,15712.70416776596,2123.338401049454,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y2_x19,16562.03952818574,2123.338401049454,Other
osmFISH Pseudospot,ground_truth,pseudospot_y2_x20,17411.374888605522,2123.338401049454,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y2_x21,18260.710249025306,2123.338401049454,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y3_x15,13164.698086506616,2972.6737614692356,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y3_x16,14014.033446926396,2972.6737614692356,Other
osmFISH Pseudospot,ground_truth,pseudospot_y3_x17,14863.368807346178,2972.6737614692356,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y3_x18,15712.70416776596,2972.6737614692356,Other
osmFISH Pseudospot,ground_truth,pseudospot_y3_x19,16562.03952818574,2972.6737614692356,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y3_x20,17411.374888605522,2972.6737614692356,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y3_x21,18260.710249025306,2972.6737614692356,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y4_x15,13164.698086506616,3822.0091218890175,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y4_x16,14014.033446926396,3822.0091218890175,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y4_x17,14863.368807346178,3822.0091218890175,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y4_x18,15712.70416776596,3822.0091218890175,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y4_x19,16562.03952818574,3822.0091218890175,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y4_x20,17411.374888605522,3822.0091218890175,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y4_x21,18260.710249025306,3822.0091218890175,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y5_x15,13164.698086506616,4671.344482308799,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y5_x16,14014.033446926396,4671.344482308799,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y5_x17,14863.368807346178,4671.344482308799,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y5_x18,15712.70416776596,4671.344482308799,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y5_x19,16562.03952818574,4671.344482308799,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y5_x20,17411.374888605522,4671.344482308799,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y5_x21,18260.710249025306,4671.344482308799,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y5_x23,19959.38096986487,4671.344482308799,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y5_x24,20808.71633028465,4671.344482308799,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y6_x15,13164.698086506616,5520.67984272858,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y6_x16,14014.033446926396,5520.67984272858,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y6_x17,14863.368807346178,5520.67984272858,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y6_x19,16562.03952818574,5520.67984272858,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y6_x20,17411.374888605522,5520.67984272858,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y6_x21,18260.710249025306,5520.67984272858,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y6_x22,19110.045609445086,5520.67984272858,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y6_x23,19959.38096986487,5520.67984272858,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y7_x15,13164.698086506616,6370.015203148362,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y7_x16,14014.033446926396,6370.015203148362,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y7_x17,14863.368807346178,6370.015203148362,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y7_x18,15712.70416776596,6370.015203148362,Other
osmFISH Pseudospot,ground_truth,pseudospot_y7_x19,16562.03952818574,6370.015203148362,Astrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y7_x20,17411.374888605522,6370.015203148362,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y7_x21,18260.710249025306,6370.015203148362,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y7_x22,19110.045609445086,6370.015203148362,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y7_x23,19959.38096986487,6370.015203148362,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y7_x24,20808.71633028465,6370.015203148362,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y8_x15,13164.698086506616,7219.350563568144,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y8_x16,14014.033446926396,7219.350563568144,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y8_x20,17411.374888605522,7219.350563568144,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y8_x21,18260.710249025306,7219.350563568144,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y8_x22,19110.045609445086,7219.350563568144,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y8_x23,19959.38096986487,7219.350563568144,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y9_x15,13164.698086506616,8068.685923987926,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y9_x16,14014.033446926396,8068.685923987926,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y9_x17,14863.368807346178,8068.685923987926,Astrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y9_x19,16562.03952818574,8068.685923987926,Ependymal
osmFISH Pseudospot,ground_truth,pseudospot_y9_x20,17411.374888605522,8068.685923987926,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y9_x21,18260.710249025306,8068.685923987926,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y9_x22,19110.045609445086,8068.685923987926,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y9_x23,19959.38096986487,8068.685923987926,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y10_x15,13164.698086506616,8918.021284407707,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y10_x16,14014.033446926396,8918.021284407707,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y10_x17,14863.368807346178,8918.021284407707,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y10_x18,15712.70416776596,8918.021284407707,Astrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y10_x19,16562.03952818574,8918.021284407707,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y10_x20,17411.374888605522,8918.021284407707,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y10_x21,18260.710249025306,8918.021284407707,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y10_x22,19110.045609445086,8918.021284407707,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y10_x23,19959.38096986487,8918.021284407707,Interneuron
osmFISH Pseudospot,ground_truth,pseudospot_y10_x24,20808.71633028465,8918.021284407707,Endothelial
osmFISH Pseudospot,ground_truth,pseudospot_y11_x15,13164.698086506616,9767.356644827489,Oligodendrocyte
osmFISH Pseudospot,ground_truth,pseudospot_y11_x16,14014.033446926396,9767.356644827489,Oligodendrocyte
