panel,model,x_metric,x_mean_relative_rank,x_dataset_count,y_metric,y_mean_relative_rank,y_dataset_count
expression,novosparc,five_fold_heldout_per_gene_pearson,0.5267857142857143,14,prediction_consistency_pc,0.7857142857142857,14
expression,tangram,five_fold_heldout_per_gene_pearson,0.7232142857142857,14,prediction_consistency_pc,0.5892857142857143,14
expression,spaim,five_fold_heldout_per_gene_pearson,0.6160714285714286,14,prediction_consistency_pc,0.8482142857142857,14
expression,stimpute,five_fold_heldout_per_gene_pearson,0.5357142857142857,14,prediction_consistency_pc,0.375,14
expression,cytospace,five_fold_heldout_per_gene_pearson,0.17857142857142858,14,prediction_consistency_pc,0.15178571428571427,14
expression,seurat,five_fold_heldout_per_gene_pearson,0.5982142857142857,14,prediction_consistency_pc,0.5535714285714286,14
expression,liger,five_fold_heldout_per_gene_pearson,0.32142857142857145,14,prediction_consistency_pc,0.29464285714285715,14
expression,arcimpute,five_fold_heldout_per_gene_pearson,1.0,14,prediction_consistency_pc,0.9017857142857143,14
composition,novosparc,deconvolution_spot_pearson,0.5333333333333333,3,cell_composition_divergence_jsd,0.7571428571428572,14
composition,tangram,deconvolution_spot_pearson,0.6,3,cell_composition_divergence_jsd,0.6428571428571429,14
composition,cytospace,deconvolution_spot_pearson,0.20000000000000004,3,cell_composition_divergence_jsd,0.20000000000000004,14
composition,seurat,deconvolution_spot_pearson,0.6666666666666666,3,cell_composition_divergence_jsd,0.4571428571428572,14
composition,arcimpute,deconvolution_spot_pearson,1.0,3,cell_composition_divergence_jsd,0.942857142857143,14
